iter	Logloss
0	0.6814165741
1	0.6667995892
2	0.6524195595
3	0.6398126467
4	0.6335883511
5	0.6278339473
6	0.6216025758
7	0.6160875178
8	0.6026062692
9	0.5935403957
10	0.5837637161
11	0.5728380788
12	0.5611992783
13	0.5484484068
14	0.5364703637
15	0.5286332902
16	0.5204293893
17	0.5150197816
18	0.5109054495
19	0.5045396814
20	0.4960119174
21	0.4909743223
22	0.4873192429
23	0.478305761
24	0.4724693237
25	0.4697508955
26	0.4661781928
27	0.4595437193
28	0.456208312
29	0.4494835791
30	0.446745558
31	0.4404844036
32	0.4377364914
33	0.4318126068
34	0.4253986913
35	0.4187559039
36	0.4147369885
37	0.4117585605
38	0.4070236502
39	0.4020353077
40	0.400027388
41	0.3974897363
42	0.392450843
43	0.3888981248
44	0.386880297
45	0.3816570244
46	0.3797121268
47	0.3767694792
48	0.3744835005
49	0.3682916308
50	0.3662806404
51	0.361408085
52	0.3591932571
53	0.3558351956
54	0.3523248636
55	0.3488460889
56	0.3453745617
57	0.3429574556
58	0.3399620924
59	0.3382614347
60	0.3353585688
61	0.3338358182
62	0.332090421
63	0.330608027
64	0.3278014605
65	0.3262855154
66	0.3247470185
67	0.3233434953
68	0.3218688171
69	0.3194789637
70	0.3183225569
71	0.3163448649
72	0.3152719162
73	0.3138965227
74	0.3127123247
75	0.3103869561
76	0.3087155826
77	0.3074452871
78	0.3055895424
79	0.3041234455
80	0.3028846377
81	0.3012300463
82	0.2998367376
83	0.2989570325
84	0.2976850973
85	0.2956772827
86	0.2933306747
87	0.2920360163
88	0.2903322639
89	0.2896682078
90	0.2881897607
91	0.2856300145
92	0.2836863194
93	0.2820483749
94	0.2807497939
95	0.278718583
96	0.2777659545
97	0.2764773727
98	0.2749246038
99	0.2733508312
100	0.2717821157
101	0.2699821436
102	0.2673658961
103	0.2658659649
104	0.2645318533
105	0.2624786799
106	0.2616412027
107	0.2600274379
108	0.2580481317
109	0.2571026095
110	0.256411628
111	0.2553669834
112	0.253943222
113	0.2533060277
114	0.2525560495
115	0.2512241787
116	0.2505908025
117	0.2498281014
118	0.2491201556
119	0.2476529975
120	0.246916396
121	0.2461919495
122	0.245433482
123	0.2439611863
124	0.2433229805
125	0.2425742632
126	0.242133516
127	0.2414781022
128	0.2407076473
129	0.2393034942
130	0.2387025859
131	0.2382488085
132	0.2373155171
133	0.2362610609
134	0.2353584866
135	0.2348478066
136	0.2343924507
137	0.2331803543
138	0.2324594623
139	0.2315792104
140	0.2305489865
141	0.2295820337
142	0.2287496672
143	0.2275509988
144	0.2269940022
145	0.2256981193
146	0.2252503113
147	0.2244648519
148	0.2238510945
149	0.2232240153
150	0.2226008541
151	0.2213744715
152	0.2210995145
153	0.2197541229
154	0.2194009576
155	0.2189277362
156	0.2181925704
157	0.2177810695
158	0.2174406228
159	0.216785699
160	0.2162487888
161	0.2158954544
162	0.2153496681
163	0.2149709046
164	0.2144441028
165	0.2138525827
166	0.2134970263
167	0.2127090492
168	0.2114371913
169	0.2109826207
170	0.2104028522
171	0.2094498265
172	0.2090572919
173	0.2087809311
174	0.2080954537
175	0.2077774948
176	0.2074137389
177	0.2071154945
178	0.2066597667
179	0.2062555003
180	0.2056079559
181	0.205194714
182	0.2049152502
183	0.2045021345
184	0.2041702973
185	0.2039254046
186	0.2036672504
187	0.2030286297
188	0.2027397782
189	0.2020864565
190	0.2014315363
191	0.201004934
192	0.2006512373
193	0.2002095218
194	0.1995346225
195	0.1991923942
196	0.1987920024
197	0.1983550471
198	0.1979750688
199	0.1978433647
200	0.197490733
201	0.1972489036
202	0.1962135667
203	0.1957808781
204	0.1952615266
205	0.1949921954
206	0.1946376443
207	0.1943944097
208	0.1938648947
209	0.1934916083
210	0.1931956389
211	0.1930233472
212	0.1928523355
213	0.1924587123
214	0.1920354508
215	0.1918606048
216	0.1912188192
217	0.1909250256
218	0.1906991973
219	0.1902216582
220	0.1900284818
221	0.1898238323
222	0.1894672617
223	0.189174486
224	0.1885893399
225	0.1884212028
226	0.1878749455
227	0.1876219868
228	0.1873967821
229	0.186756579
230	0.1862903323
231	0.1857598981
232	0.1856081928
233	0.1854196805
234	0.1849389907
235	0.1844989281
236	0.1841715587
237	0.1839240687
238	0.1838074651
239	0.1836408055
240	0.1834918093
241	0.1832283972
242	0.1829688345
243	0.1827146346
244	0.1825281262
245	0.1823021503
246	0.181792654
247	0.1816089552
248	0.1813138339
249	0.1811257206
250	0.180895386
251	0.1807221708
252	0.1805417556
253	0.1801758038
254	0.1796798484
255	0.1795079088
256	0.1791308682
257	0.1787433856
258	0.1784141783
259	0.1782072742
260	0.1778494064
261	0.1774086275
262	0.1769773967
263	0.1766935489
264	0.1763494399
265	0.1761592535
266	0.1759477479
267	0.1755057909
268	0.1753283818
269	0.1751976179
270	0.1750125084
271	0.174794105
272	0.1745443248
273	0.174261324
274	0.1739641292
275	0.1737959805
276	0.1734880024
277	0.1732878176
278	0.1730098606
279	0.1727735209
280	0.1726063834
281	0.1721936786
282	0.1718986278
283	0.1716947529
284	0.1714515336
285	0.1713177327
286	0.1710366684
287	0.1708803393
288	0.1707217057
289	0.1704996373
290	0.1702216617
291	0.169955203
292	0.1698528081
293	0.1696471104
294	0.1694477419
295	0.1691353856
296	0.1688202056
297	0.1686271137
298	0.1683991618
299	0.1681517817
300	0.1679631337
301	0.1677609904
302	0.1676154984
303	0.1674767584
304	0.1672434012
305	0.166718583
306	0.1665877664
307	0.1664680908
308	0.1660445727
309	0.165904162
310	0.1656948617
311	0.1654365908
312	0.1651455457
313	0.1650203549
314	0.16484767
315	0.1646618335
316	0.1645229072
317	0.1643405877
318	0.1641255643
319	0.1638582885
320	0.1636322238
321	0.1634681653
322	0.1631078842
323	0.1628885934
324	0.1627547816
325	0.1624704513
326	0.1622432701
327	0.1620139184
328	0.1617861862
329	0.161657088
330	0.1615537432
331	0.1613866339
332	0.1612305662
333	0.1610056496
334	0.1608990265
335	0.160659369
336	0.1604619879
337	0.1603851521
338	0.1602024997
339	0.1599520508
340	0.1596323033
341	0.1594715456
342	0.1593344019
343	0.1590113416
344	0.1588753129
345	0.1587104945
346	0.158463583
347	0.1583773086
348	0.1582173175
349	0.1580494004
350	0.157821884
351	0.1576662598
352	0.1574651141
353	0.1573661082
354	0.157157349
355	0.1570053153
356	0.1568456591
357	0.1567308237
358	0.1565939746
359	0.1564353044
360	0.1562970368
361	0.1561636837
362	0.1559627147
363	0.1556779655
364	0.1555294154
365	0.1553783704
366	0.1552929135
367	0.1551081226
368	0.1547873209
369	0.1545178276
370	0.1543589203
371	0.154264392
372	0.1540618999
373	0.1539067979
374	0.1537233159
375	0.1536164335
376	0.1534340079
377	0.1532277112
378	0.153077739
379	0.1528888477
380	0.1527391877
381	0.1525304292
382	0.15233565
383	0.1521423948
384	0.1519110169
385	0.1517808929
386	0.1515776841
387	0.1514426807
388	0.1513577924
389	0.1511608948
390	0.1509780653
391	0.1508140538
392	0.1506426093
393	0.1505628072
394	0.1503766431
395	0.1501970719
396	0.1500602474
397	0.1499760016
398	0.1497686812
399	0.149614238
400	0.1495362893
401	0.14938145
402	0.1493070412
403	0.1491307738
404	0.1489603306
405	0.1488088698
406	0.148711947
407	0.1485405276
408	0.1484508412
409	0.1484083853
410	0.1482753028
411	0.1481893098
412	0.1479919976
413	0.1478754461
414	0.1477636394
415	0.147348118
416	0.1472135936
417	0.1470756135
418	0.1469155634
419	0.1467666528
420	0.1463745654
421	0.1463270728
422	0.1462447187
423	0.1459879678
424	0.1458221742
425	0.1455585155
426	0.1454709753
427	0.1452852732
428	0.1451702664
429	0.1449798068
430	0.144877983
431	0.1448102699
432	0.144738858
433	0.1446493924
434	0.1445275643
435	0.1444692438
436	0.144352345
437	0.1441832134
438	0.143949481
439	0.1437748532
440	0.1437327182
441	0.1436201958
442	0.1434679455
443	0.1433738526
444	0.1432666216
445	0.1431528919
446	0.1430497634
447	0.142863395
448	0.1427641551
449	0.1426509316
450	0.1425082718
451	0.14230679
452	0.1421008073
453	0.1419553542
454	0.1418476036
455	0.1414717664
456	0.1412525992
457	0.1411095107
458	0.1409247498
459	0.1408116143
460	0.1407162024
461	0.1406042466
462	0.1405025398
463	0.1403819332
464	0.1402192877
465	0.1401226722
466	0.1400166854
467	0.139896165
468	0.1396536549
469	0.1395343565
470	0.139371288
471	0.139196244
472	0.1391412679
473	0.1390830822
474	0.1389584974
475	0.1388588734
